  PID  PPID  PGID   UID USER             STAT     ELAPSED COMMAND
  666     1   666   501 oopslink         Ss   27-06:05:55 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53YWxscGFwZXIuZXh0ZW5zaW9uLmFlcmlhbHMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  671     1   671   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  673     1   673   259 _ctkd            Ss   27-06:05:55 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  681     1   681   268 _nearbyd         Ss   27-06:05:55 /usr/libexec/nearbyd
  684     1   684     0 root             Ss   27-06:05:55 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  685     1   685   501 oopslink         S    27-06:05:55 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  688     1   688   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  691     1   691   501 oopslink         S    27-06:05:55 /usr/sbin/usernoted
  693     1   693   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/HearingCore.framework/heard
  694     1   694   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  700     1   700   501 oopslink         S    27-06:05:55 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  702     1   702   501 oopslink         S    27-06:05:55 /System/Library/Image Capture/Support/icdd
  708     1   708   501 oopslink         S    27-06:05:55 /usr/libexec/sharingd
  712     1   712   501 oopslink         S    27-06:05:55 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  713     1   713   501 oopslink         S    27-06:05:55 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  714     1   714   501 oopslink         S    27-06:05:55 /opt/homebrew/Cellar/python@3.11/3.11.14_3/Frameworks/Python.framework/Versions/3.11/Resources/Python.app/Contents/MacOS/Python -m hermes_cli.main gateway run --replace
  716     1   716   501 oopslink         S    27-06:05:55 /System/Library/CoreServices/diagnostics_agent
  717     1   717   501 oopslink         S    27-06:05:55 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/Resources/Python.app/Contents/MacOS/Python -m uvicorn tools.dashboard.backend.main:app --host 127.0.0.1 --port 18000
  718     1   718   501 oopslink         S    27-06:05:55 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
  723     1   723   501 oopslink         S    27-06:05:55 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  725     1   725   501 oopslink         S    27-06:05:55 /usr/libexec/nsurlsessiond
  729     1   729   301 _modelmanagerd   Ss   27-06:05:55 /System/Library/ExtensionKit/Extensions/HostInferenceProviderService.appex/Contents/MacOS/HostInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib3N0SW5mZXJlbmNlUHJvdmlkZXJTZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  730     1   730   301 _modelmanagerd   S    27-06:05:55 /usr/sbin/distnoted agent
  731     1   731   501 oopslink         Ss   27-06:05:55 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5DbG91ZERvY3MuaUNsb3VkRHJpdmVGaWxlUHJvdmlkZXIiLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
  735     1   735   501 oopslink         S    27-06:05:55 /Applications/Parallels Toolbox.app/Contents/MacOS/Parallels Toolbox
  744     1   744   501 oopslink         Ss   27-06:05:54 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0UGVvcGxlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
  745     1   745   501 oopslink         Ss   27-06:05:54 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQmF0dGVyaWVzLkJhdHRlcmllc0F2b2NhZG9XaWRnZXRFeHRlbnNpb24ifQ==
  747     1   747   501 oopslink         Ss   27-06:05:54 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuc3RvY2tzLndpZGdldCJ9
  749     1   749   501 oopslink         Ss   27-06:05:54 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuZmluZG15LkZpbmRNeVdpZGdldEl0ZW1zIn0=
  751     1   751   501 oopslink         S    27-06:05:54 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  754     1   754   501 oopslink         Ss   27-06:05:54 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY2xvY2suV29ybGRDbG9ja1dpZGdldCJ9
  756     1   756   501 oopslink         S    27-06:05:54 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  757     1   757   501 oopslink         Ss   27-06:05:54 /System/Library/Input Methods/SCIM.app/Contents/PlugIns/SCIM_Extension.appex/Contents/MacOS/SCIM_Extension -AppleLanguages ("zh-Hans-CN")
  759     1   759   501 oopslink         S    27-06:05:54 /System/Library/CoreServices/lockoutagent
  760     1   760   501 oopslink         S    27-06:05:54 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  761     1   761   501 oopslink         Ss   27-06:05:54 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuU2NyZWVuVGltZVdpZGdldEFwcGxpY2F0aW9uLlNjcmVlblRpbWVXaWRnZXRFeHRlbnNpb24ifQ==
  764     1   764   501 oopslink         S    27-06:05:54 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
  776     1   776   501 oopslink         Ss   27-06:05:53 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuam91cm5hbC53aWRnZXRzLnNlY3VyZSJ9
  800     1   800   501 oopslink         Ss   27-06:05:53 /System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("zh-Hans-CN")
  803     1   803   501 oopslink         S    27-06:05:53 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  807     1   807   501 oopslink         Ss   27-06:05:53 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
  811     1   811   501 oopslink         Ss   27-06:05:53 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("zh-Hans-CN")
  813     1   813   501 oopslink         S    27-06:05:53 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  815     1   815   501 oopslink         S    27-06:05:53 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  818     1   818     0 root             Ss   27-06:05:53 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  826     1   826   260 _applepay        S    27-06:05:53 /usr/sbin/distnoted agent
  833     1   833   501 oopslink         S    27-06:05:52 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  834     1   834   501 oopslink         Ss   27-06:05:52 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  835     1   835   501 oopslink         Ss   27-06:05:52 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  836     1   836   501 oopslink         Ss   27-06:05:52 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
  847     1   847   501 oopslink         S    27-06:05:52 /usr/libexec/avconferenced
  848     1   848   501 oopslink         S    27-06:05:52 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  852     1   852   501 oopslink         Ss   27-06:05:52 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  866     1   866     0 root             Ss   27-06:05:51 /usr/libexec/wifianalyticsd
  920     1   920   247 _gamecontrollerd S    27-06:05:50 /usr/sbin/distnoted agent
  952     1   952     0 root             Rs   27-06:05:49 /usr/libexec/sysmond
  957   326   326     0 root             S    27-06:05:48 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  973     1   973   278 _accessoryupdater S    27-06:05:48 /usr/sbin/distnoted agent
  985     1   985     0 root             Ss   27-06:05:47 /System/Library/CoreServices/CrashReporterSupportHelper server-init
 1019     1  1019    92 _securityagent   S    27-06:05:45 /usr/sbin/distnoted agent
 1025     1  1025   501 oopslink         SN   27-06:05:45 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
 1053     1  1053   274 _installcoordinationd S    27-06:05:24 /usr/sbin/distnoted agent
 1055     1  1055   265 _fpsd            Ss   27-06:05:24 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
 1065     1  1065   501 oopslink         S    27-06:05:20 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
